product_id,therapeutic_area,indication,active_ingredient,pharmacological_class,mechanism_of_action,route_of_administration,target_population,addressable_population,competition_level,relative_price_index,market_access_level,clinical_evidence_strength
P137,Respiratory,COPD,Salmeterol,LABA (Long-Acting Beta2 Agonist),Relaxes airway smooth muscle via beta-2 receptor stimulation,Inhaled,Adult,17357,1.4,1.7,9.7,4.9
P138,Respiratory,Asthma,Montelukast,Leukotriene Receptor Antagonist,"Blocks the cysteinyl leukotriene receptor, reducing airway inflammation",Oral,Adult and Pediatric,41976,6.2,1.99,2.1,8.0
P139,Infectious Disease,HIV,Ritonavir,Protease Inhibitor,"Inhibits HIV protease, preventing viral particle maturation",Oral,Adult and Pediatric,83019,7.9,0.94,5.2,5.1
P140,Cardiology,Coronary Artery Disease,Clopidogrel,Antiplatelet Agent (P2Y12 Inhibitor),"Inhibits P2Y12 receptor, blocking platelet aggregation",Oral,Adult,36687,6.4,1.26,8.7,7.7
P141,Neurology,Alzheimer's Disease,Lecanemab,Anti-Amyloid Monoclonal Antibody,"Binds amyloid-beta aggregates, promoting clearance",Intravenous Infusion,Elderly,19957,9.5,0.66,9.2,4.2
P142,Cardiology,Hyperlipidemia,Rosuvastatin,Statin (HMG-CoA Reductase Inhibitor),"Inhibits HMG-CoA reductase, lowering cholesterol synthesis",Oral,Adult,308585,8.1,1.23,5.4,9.2
P143,Cardiology,Coronary Artery Disease,Atorvastatin,Statin (HMG-CoA Reductase Inhibitor),"Inhibits HMG-CoA reductase, lowering cholesterol synthesis",Oral,Adult,53374,9.2,0.91,7.5,5.4
P144,Immunology,Ulcerative Colitis,Vedolizumab,Anti-Integrin (α4β7) Monoclonal Antibody,"Blocks α4β7 integrin, inhibiting leukocyte migration into gut tissue",Intravenous Infusion,Adult,20819,2.4,2.41,3.4,5.1
P145,Psychiatry,ADHD,Methylphenidate,Stimulant,Blocks reuptake of dopamine and norepinephrine,Oral,Adult and Pediatric,91320,5.1,0.58,1.4,9.8
P146,Endocrinology,Type 1 Diabetes,Insulin Lispro,Rapid-Acting Insulin Analog,"Activates insulin receptors, promoting cellular glucose uptake",Subcutaneous Injection,Adult and Pediatric,76628,4.2,2.44,3.8,3.7
P147,Immunology,Lupus,Belimumab,BLyS Inhibitor (Monoclonal Antibody),"Inhibits B-lymphocyte stimulator, reducing autoreactive B-cells",Intravenous Infusion,Adult and Pediatric,178101,6.8,1.1,9.3,8.2
P148,Gastroenterology,Ulcerative Colitis,Tofacitinib,JAK Inhibitor (JAK1/JAK3),"Inhibits Janus kinases, reducing cytokine-driven inflammation",Oral,Adult,14723,7.4,0.81,9.7,2.4
P149,Oncology,Multiple Myeloma,Bortezomib,Proteasome Inhibitor,"Inhibits the 26S proteasome, causing accumulation of pro-apoptotic proteins",Intravenous Infusion,Adult,86645,7.2,2.4,4.6,8.6
P150,Endocrinology,Osteoporosis,Alendronate,Bisphosphonate,Inhibits osteoclast-mediated bone resorption,Oral,Elderly,144813,1.5,1.83,8.6,8.3
